District,Total Students,Pass Percent,English,Nepali,Maths,Science,Social Studies,HPE
achham,2265,53.50993377483444,25.994999999999997,41.105000000000004,32.7275,27.2075,45.2725,35.295
arghakhanchi,3721,58.640150497178176,30.262962962962963,45.270370370370365,37.270370370370365,32.464814814814815,43.17407407407408,42.06111111111112
baglung,3873,40.201394268009295,26.02820512820513,45.73076923076923,30.739743589743586,33.56666666666666,46.86153846153846,41.01923076923077
baitadi,2057,46.81575109382596,25.65192307692308,42.74807692307692,31.5,29.786538461538463,47.09423076923077,38.309615384615384
bajhang,1470,73.74149659863946,30.656756756756756,46.29189189189189,40.04054054054054,32.73243243243243,53.064864864864866,39.37567567567568
bajura,677,44.16543574593796,22.34583333333333,38.637499999999996,30.141666666666666,26.9375,42.770833333333336,33.87083333333333
banke,3768,41.87898089171975,31.975806451612904,44.596774193548384,37.380645161290325,35.54838709677419,41.59032258064516,40.979032258064514
bara,3625,46.28965517241379,29.564285714285713,45.02142857142857,41.63285714285715,34.19714285714286,44.00142857142857,40.035714285714285
bardiya,2838,38.3368569415081,25.82439024390244,45.33170731707317,34.70487804878049,31.334146341463416,40.353658536585364,38.75853658536585
bhaktapur,4708,76.52931180968564,44.43106796116505,58.39708737864078,58.822330097087374,44.99417475728155,54.76990291262136,49.37378640776699
bhojpur,2423,52.125464300453984,26.69787234042553,42.05744680851064,39.35957446808511,29.751063829787235,36.04255319148936,40.10425531914894
chitawan,7870,66.01016518424396,37.8755905511811,54.03858267716535,53.63149606299213,36.94094488188976,50.00314960629921,45.62992125984252
dadeldhura,1207,32.64291632145816,23.830555555555556,40.44166666666667,27.91111111111111,30.15555555555555,42.638888888888886,35.044444444444444
dailekh,1745,44.81375358166189,24.7525,50.0075,32.707499999999996,30.76,38.975,44.1325
dang,4849,43.53474943287276,32.89878048780488,49.80853658536586,46.071951219512194,38.456097560975614,45.43536585365853,45.6280487804878
darchula,1196,59.94983277591973,29.057142857142857,44.59714285714286,33.12571428571429,32.67142857142857,48.51142857142857,39.15142857142857
dhading,3359,55.79041381363501,28.275,49.3046875,41.0796875,32.0890625,45.7625,40.71875
