Location,Geographical Region,School Number,School,ENGLISH,NEPALI,MATHS,SCIENCE,SOCIAL STUDIES,HEALTH POPULATION AND ENVIRONMENT,TAP,SAP,DISTINCTION,FIRST DIVISION,SECOND DIVISION,THIRD DIVISION,PASS,FAIL,PASS PERCENT
"Taplejung, Mechi, Eastern",Mountain,1,"BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN, 1001",16.2,51.5,21.8,25.5,30.8,33.1,60,60,0,2,7,0,9,51,15.0
"Taplejung, Mechi, Eastern",Mountain,2,"BHANUJAN MA VI AMBITAR, 1002",17.3,46.5,25.3,23.5,38.2,39.2,116,115,0,5,16,0,21,94,18.3
"Taplejung, Mechi, Eastern",Mountain,3,"MOTI MA VI KHOKLING, 1003",16.2,48.5,34.2,31.0,30.4,42.4,30,30,0,0,2,0,2,28,6.7
"Taplejung, Mechi, Eastern",Mountain,4,"SINAM MA VI SINAM, 1004",28.7,41.6,41.2,36.9,41.4,48.2,76,75,0,12,46,0,58,17,77.3
"Taplejung, Mechi, Eastern",Mountain,5,"GANESH MA VI KHEWANG, 1005",23.3,44.1,31.7,28.0,43.6,35.0,27,27,0,2,7,0,9,18,33.3
"Taplejung, Mechi, Eastern",Mountain,6,"THECHAMBU MA VI THECHAMBU, 1006",13.3,39.7,36.6,27.8,38.8,33.1,43,43,0,2,3,0,5,38,11.6
"Taplejung, Mechi, Eastern",Mountain,7,"MAIWAKHOLA MA VI TEMBE, 1007",15.0,37.8,24.3,28.5,37.4,34.0,62,62,0,2,6,0,8,54,12.9
"Taplejung, Mechi, Eastern",Mountain,8,"PRITHVI MA VI KHAMLUNG, 1008",21.7,47.4,44.5,35.0,32.9,39.5,15,15,0,0,7,1,8,7,53.3
"Taplejung, Mechi, Eastern",Mountain,9,"BHANJYANG MA VI LIMBUDIN, 1009",23.7,38.1,39.1,35.1,35.9,43.3,89,88,0,8,34,1,43,45,48.9
"Taplejung, Mechi, Eastern",Mountain,10,"NARAYANI MA VI SANGHU, 1010",12.9,34.1,23.5,27.7,34.9,34.2,35,35,0,0,3,0,3,32,8.6
"Taplejung, Mechi, Eastern",Mountain,11,"DURGA MA VI PHULBARI, 1011",21.8,47.9,40.3,29.4,33.7,36.7,27,27,0,1,7,2,10,17,37.0
"Taplejung, Mechi, Eastern",Mountain,12,"SARASWATI MA VI HANGPANG, 1012",23.3,41.6,32.4,28.5,38.2,36.2,31,31,0,0,11,4,15,16,48.4
"Taplejung, Mechi, Eastern",Mountain,13,"JANATA MA VI HANGDEWA, 1013",17.8,43.8,30.6,23.5,29.8,35.6,52,52,0,2,10,0,12,40,23.1
"Taplejung, Mechi, Eastern",Mountain,14,"SARASWATI MA VI LELEP, 1014",26.6,54.0,37.1,32.1,35.3,40.3,14,14,0,2,5,1,8,6,57.1
"Taplejung, Mechi, Eastern",Mountain,15,"SARASWATI MA VI SIKAICHA, 1015",15.2,38.1,32.3,25.6,32.3,31.2,32,32,0,2,1,2,5,27,15.6
"Taplejung, Mechi, Eastern",Mountain,16,"SANWA MA VI SANWA MEWAKHOLA, 1016",20.8,46.5,34.3,34.7,32.6,35.9,28,28,0,2,11,0,13,15,46.4
"Taplejung, Mechi, Eastern",Mountain,17,"TELLOK MA VI TELLOK, 1017",19.4,39.0,37.9,27.4,43.0,37.5,32,32,0,1,9,0,10,22,31.3
"Taplejung, Mechi, Eastern",Mountain,18,"NILGIRI MA VI MEHELE, 1018",15.6,43.6,29.9,26.8,30.7,34.2,40,40,0,1,4,0,5,35,12.5
"Taplejung, Mechi, Eastern",Mountain,19,"KALIKA MA VI NANGKHOLYANG, 1019",14.5,41.7,40.8,25.1,37.6,34.5,55,55,0,3,6,0,9,46,16.4
"Taplejung, Mechi, Eastern",Mountain,20,"NAVA JYOTI AWASIYA MA VI PHUNGLING, 1020",22.2,43.3,39.8,24.9,31.0,34.5,67,67,0,1,22,1,24,43,35.8
"Taplejung, Mechi, Eastern",Mountain,21,"SINWA MA VI LINGSIM SINWA, 1021",24.4,52.6,43.3,37.5,39.6,42.5,20,20,0,3,8,1,12,8,60.0
"Taplejung, Mechi, Eastern",Mountain,22,"MAHENDRA MA VI PHAKUMVA MAIWAKHOLA, 1022",13.8,35.4,22.2,24.4,35.2,32.7,30,30,0,0,3,1,4,26,13.3
"Taplejung, Mechi, Eastern",Mountain,23,"CHAKSIBOTE MA VI CHAKSIBOTE, 1023",15.6,37.9,35.1,31.1,37.4,33.7,16,16,0,0,4,1,5,11,31.3
"Taplejung, Mechi, Eastern",Mountain,24,"CHANGE MA VI CHANGE, 1024",18.2,38.8,22.9,27.1,30.4,31.5,75,75,0,1,13,3,17,58,22.7
"Taplejung, Mechi, Eastern",Mountain,25,"KALIKA MA VI TIRINGA, 1025",14.4,41.0,30.0,28.7,40.5,33.5,28,28,0,0,2,0,2,26,7.1
